# glossaire_classifie.csv V1.0.0 - 28/12/2025 10:07:17
type;fr;en;de;es;it;ja;pt;pl;ro;th;ar;cn
o;recedings gums;recedings gums;;;;歯茎の後退;;;;;;
pt;rechute;relapse;;;;再発;;;;;;
o;rechutes;relapses;;;;再燃;;;;;;
pt;recidive;repeat offences;;;;再犯;;;;;;
pt;recouvrement horizontal;horizontal overlap;;;;水平オーバーラップ;;;;;;
pt;recouvrement vertical excessif;excessive vertical overlap;;;;過剰な垂直オーバーラップ;;;;;;
o;recouvrements horizontaux;horizontal overlaps;;;;水平オーバーラップ;;;;;;
o;recouvrements verticaux excessifs;excessive vertical overlaps;;;;過度の垂直オーバーラップ;;;;;;
pt;recul;back;;;;バック;;;;;;
o;reculle;back off;;;;後ずさる;;;;;;
o;reculles;back off;;;;後ずさる;;;;;;
o;reculs;setbacks;;;;セットバック;;;;;;
o;reculée;remote;;;;リモート;;;;;;
o;reculées;remote;;;;リモート;;;;;;
pt;redressement;turnaround;;;;ターンアラウンド;;;;;;
o;redressemente;turnaround;;;;ターンアラウンド;;;;;;
o;redressementes;turnaround;;;;ターンアラウンド;;;;;;
o;redressements;turnarounds;;;;ターンアラウンド;;;;;;
pt;relapse;relapse;;;;再発;;;;;;
o;relapses;relapses;;;;再燃;;;;;;
o;relation antéropostérieure;anteroposterior relationship;;;;前後関係;;;;;;
o;relation intermaxillaire;intermaxillary relationship;;;;顎間関係;;;;;;
o;relation maxillo-mandibulaire;maxillo-mandibular relationship;;;;顎関節関係;;;;;;
pt;relation molaire de classe i;class i molar relationship;;;;クラスIモル関係;;;;;;
pt;relation molaire neutre;neutral molar relationship;;;;中性モル関係;;;;;;
o;relations antéropostérieures;anteroposterior relations;;;;前後関係;;;;;;
o;relations intermaxillaires;intermaxillary relations;;;;顎間関係;;;;;;
o;relations maxillo-mandibulaires;maxillo-mandibular relations;;;;顎顎関係;;;;;;
o;relations molaires neutres;neutral molar relations;;;;中性モル関係;;;;;;
pt;removable appliance;removable appliance;;;;リムーバブル・アプライアンス;;;;;;
o;removables appliances;removable appliances;;;;取り外し可能な家電製品;;;;;;
pt;rendez-vous;appointment;;;;アポイントメント;;;;;;
o;rendez-vousse;appointmentse;;;;アポイントメント;;;;;;
o;rendez-vousses;appointments;;;;アポイントメント;;;;;;
pt;resin composite;resin composite;;;;レジン・コンポジット;;;;;;
o;resins composites;composite resins;;;;複合樹脂;;;;;;
pt;respirateur buccal;oral respirator;;;;経口呼吸器;;;;;;
o;respirateurs buccaux;oral respirators;;;;経口呼吸器;;;;;;
t;respiration buccale;mouth breathing;;;;口呼吸;;;;;;
pt;respiration nasale;nasal breathing;;;;鼻呼吸;;;;;;
pt;respiration orale;oral respiration;;;;口呼吸;;;;;;
pt;respiration par la bouche;mouth breathing;;;;口呼吸;;;;;;
pt;respiration par le nez;breathing through the nose;;;;鼻呼吸;;;;;;
o;respirations nasales;nasal breathing;;;;鼻呼吸;;;;;;
o;respirations orales;oral respiration;;;;口呼吸;;;;;;
o;respirations pars las bouches;respirations pars las bouches;;;;呼吸;;;;;;
o;respirations pars les nez;nose breathing;;;;鼻呼吸;;;;;;
t;ressaut articulaire;joint protrusion;;;;関節突出部;;;;;;
pt;ressaut atm;atm projection;;;;アトムジャンプ;;;;;;
o;ressauts atms;atm jumps;;;;ATMジャンプ;;;;;;
pt;restauration en composite;composite restoration;;;;複合修復;;;;;;
o;restaurations ens composites;composite restorations;;;;コンポジットレストレーション;;;;;;
pt;retention;retention;;;;保持;;;;;;
o;retentionne;retentionne;;;;保持;;;;;;
o;retentionnes;retention;;;;保持;;;;;;
o;retentions;retentions;;;;留保;;;;;;
pt;retour;back;;;;バック;;;;;;
o;retoure;return;;;;戻る;;;;;;
o;retoures;returns;;;;収益;;;;;;
o;retours;returns;;;;収益;;;;;;
pt;rhizalyse;rhizalysis;;;;根粒分析;;;;;;
o;rhizalyses;rhizalysis;;;;根粒分析;;;;;;
pt;ronflement;snoring;;;;いびき;;;;;;
o;ronflemente;snore;;;;いびきをかく;;;;;;
o;ronflementes;snoring;;;;いびき;;;;;;
o;ronflements;snoring;;;;いびき;;;;;;
pt;ronger les ongles;nail biting;;;;爪噛み;;;;;;
o;rongers les ongles;nail biting;;;;爪噛み;;;;;;
t;rotation;rotation;;;;ローテーション;;;;;;
pt;rotation axiale;axial rotation;;;;軸回転;;;;;;
pt;rotation radiculaire;root rotation;;;;ルート回転;;;;;;
o;rotations axiales;axial rotations;;;;軸回転;;;;;;
o;rotations radiculaires;root rotations;;;;ルート・ローテーション;;;;;;
pt;rubber bands;rubber bands;;;;輪ゴム;;;;;;
o;rubbers bands;rubbers bands;;;;ゴムバンド;;;;;;
t;récession gingivale;gingival recession;;;;歯肉退縮;;;;;;
pt;récession parodontale;periodontal recession;;;;歯周後退;;;;;;
o;récessions parodontales;periodontal recessions;;;;歯周後退;;;;;;
t;récidive;relapse;;;;再発;;;;;;
pt;récidive orthodontique;orthodontic recurrence;;;;歯列矯正の再発;;;;;;
o;réductible;reducible;;;;かぎゃくかのう;;;;;;
o;réductibles;reducible;;;;かぎゃくかのう;;;;;;
pt;réduction amélaire;tooth reduction;;;;減歯;;;;;;
pt;réduction interproximale;interproximal reduction;;;;歯間還元;;;;;;
o;réductions amélaires;ameloid reductions;;;;骨髄減少;;;;;;
o;réductions interproximales;interproximal reductions;;;;歯間減少;;;;;;
pt;résine composite;composite resin;;;;コンポジットレジン;;;;;;
o;résines composites;composite resins;;;;複合樹脂;;;;;;
pt;résorption apicale;apical resorption;;;;頂端吸収;;;;;;
pt;résorption de la racine;root resorption;;;;歯根吸収;;;;;;
t;résorption radiculaire;root resorption;;;;歯根吸収;;;;;;
o;résorptions apicales;apical resorptions;;;;頂端吸収;;;;;;
o;résorptions des las racines;root resorptions;;;;根の吸収;;;;;;
pt;rétraction gingivale;gingival retraction;;;;歯肉退縮;;;;;;
o;rétractions gingivales;gingival retractions;;;;歯肉退縮;;;;;;
t;rétroalvéolie;retroalveolus;;;;レトロアルベオラス;;;;;;
pt;rétrochéilie;retrocheilia;;;;レトロケイリア;;;;;;
o;rétrochéilies;back issues;;;;バックナンバー;;;;;;
pt;rétrognathe;retrognathe;;;;レトログナテ;;;;;;
o;rétrognathes;retrognathes;;;;後鰓類;;;;;;
pt;rétrognathie;retrognathy;;;;後遺症;;;;;;
pt;rétrognathie dentaire;retrognathia;;;;逆ナタ症;;;;;;
pt;rétrognathie mandibulaire;mandibular retrognathia;;;;下顎後屈;;;;;;
pt;rétrognathie maxillaire;maxillary retrognathia;;;;上顎前突;;;;;;
o;rétrognathies dentaires;retrognathia of the teeth;;;;歯の後傾;;;;;;
pt;rétroinclinaison;retro-tilt;;;;レトロチルト;;;;;;
o;rétroinclinaisonne;backward tilting;;;;後傾;;;;;;
o;rétroinclinaisonnes;backward tilt;;;;後傾;;;;;;
o;rétroinclinaisons;tilt back;;;;チルトバック;;;;;;
pt;rétromandibulaire;retromandibular;;;;後顎;;;;;;
o;rétromandibulaires;retromandibular;;;;後顎;;;;;;
pt;rétromandibulisme;retromandibulism;;;;レトロマンディビュリズム;;;;;;
o;rétromandibulismes;retromandibulisms;;;;レトロマンディビュリズム;;;;;;
pt;rétromaxillaire;retromaxillary;;;;腋窩後部;;;;;;
o;rétromaxillaires;retromaxillary;;;;腋窩後部;;;;;;
pt;rétroposition;retroposition;;;;後置;;;;;;
o;rétropositionne;return to;;;;戻る;;;;;;
o;rétropositionnes;retroposition;;;;後置;;;;;;
o;rétropositions;retropositions;;;;後遺症;;;;;;
t;rétrusion;retrofusion;;;;逆流;;;;;;
pt;rétrusion dentaire;dental retrofusion;;;;デンタルレトロフュージョン;;;;;;
o;rétrusions dentaires;dental re-entries;;;;歯科再入院;;;;;;
pt;saos;osa;;;;オーエスエー;;;;;;
o;saosse;saosse;;;;サオセ;;;;;;
o;saosses;saosses;;;;サオス;;;;;;
pt;scaling;scaling;;;;拡大縮小;;;;;;
o;scalings;scalings;;;;スケーリング;;;;;;
o;scalingue;scalingue;;;;スケーリング;;;;;;
o;scalingues;scalingues;;;;スケーリング;;;;;;
pt;scan 3d;3d scan;;;;3Dスキャン;;;;;;
pt;scan numérique;digital scan;;;;デジタルスキャン;;;;;;
t;scanner;scanner;;;;スキャナー;;;;;;
t;scanner intra-oral;intra-oral scanner;;;;口腔内スキャナー;;;;;;
o;scans numériques;digital scans;;;;デジタルスキャン;;;;;;
pt;se ronger les ongles;nail biting;;;;爪噛み;;;;;;
pt;sensibilité;sensitivity;;;;感性;;;;;;
o;sensibilitée;sensitivity;;;;感性;;;;;;
o;sensibilitées;sensitivities;;;;感受性;;;;;;
o;sensibilités;sensitivities;;;;感受性;;;;;;
pt;separator;separator;;;;セパレータ;;;;;;
o;separatore;separatore;;;;セパレータ;;;;;;
o;separatores;separatores;;;;セパレーター;;;;;;
o;separators;separators;;;;分離器;;;;;;
o;septique;septic;;;;腐敗性;;;;;;
o;septiques;septic;;;;腐敗性;;;;;;
pt;serrement;tightening;;;;引き締め;;;;;;
o;serremente;tightening;;;;引き締め;;;;;;
o;serrementes;clamps;;;;クランプ;;;;;;
o;serrements;clamping;;;;締め付け;;;;;;
o;ses rongers les ongles;nail biting;;;;爪噛み;;;;;;
pt;sixième;sixth;;;;第六;;;;;;
o;sixièmes;sixth;;;;第六;;;;;;
pt;sleep apnea;sleep apnea;;;;睡眠時無呼吸症候群;;;;;;
o;sleeps apneas;sleeps apneas;;;;睡眠時無呼吸;;;;;;
pt;slicing;slicing;;;;スライシング;;;;;;
o;slicings;slicings;;;;スライシングス;;;;;;
o;slicingue;slicing;;;;スライシング;;;;;;
o;slicingues;slicingues;;;;スライサー;;;;;;
o;sna;sna;;;;SNA;;;;;;
o;snb;snb;;;;エスエヌビー;;;;;;
pt;sortie dentaire;dental outing;;;;歯科見学;;;;;;
o;sorties dentaires;dental outings;;;;歯科外来;;;;;;
pt;souffrir;suffer;;;;苦しむ;;;;;;
o;souffrire;suffer;;;;苦しむ;;;;;;
o;souffrires;suffering;;;;苦しみ;;;;;;
o;souffrirs;suffering;;;;苦しみ;;;;;;
pt;sous-dimensionnement dentaire;dental undersizing;;;;デンタルアンダーサイジング;;;;;;
o;sous-dimensionnements dentaires;dental undersizing;;;;デンタルアンダーサイジング;;;;;;
pt;sous-occlusion antérieure;anterior underbite;;;;前下咬合;;;;;;
pt;sous-occlusion dentaire;dental underbite;;;;アンダーバイト;;;;;;
o;sous-occlusions antérieures;anterior sub-occlusions;;;;前下咬合;;;;;;
o;sous-occlusions dentaires;dental underbites;;;;アンダーバイト;;;;;;
pt;sous-éruption;sub-eruption;;;;サブイラプション;;;;;;
o;sous-éruptionne;sub-eruption;;;;サブイラプション;;;;;;
o;sous-éruptionnes;sub-eruptions;;;;サブ噴火;;;;;;
o;sous-éruptions;sub-eruptions;;;;サブ噴火;;;;;;
pt;space;space;;;;スペース;;;;;;
pt;space maintainer;space maintainer;;;;スペースメンテナー;;;;;;
o;spaces;spaces;;;;スペース;;;;;;
o;spaces maintainers;spaces maintainers;;;;スペース管理者;;;;;;
t;spacing;spacing;;;;スペーシング;;;;;;
pt;speech;speech;;;;スピーチ;;;;;;
o;speeche;speeche;;;;シュペーシュ;;;;;;
o;speeches;speeches;;;;スピーチ;;;;;;
o;speechs;speeches;;;;スピーチ;;;;;;
pt;stabilisation;stabilisation;;;;安定化;;;;;;
o;stabilisationne;stabilisationne;;;;スタビライゼーション;;;;;;
o;stabilisationnes;stabilisation;;;;安定化;;;;;;
o;stabilisations;stabilisations;;;;安定化;;;;;;
pt;steel;steel;;;;スチール;;;;;;
o;steelle;steelle;;;;スティール;;;;;;
o;steelles;steelles;;;;鋼鉄;;;;;;
o;steels;steels;;;;鋼;;;;;;
pt;straightening;straightening;;;;矯正;;;;;;
o;straightenings;straightenings;;;;矯正;;;;;;
o;straighteningue;straightening;;;;矯正;;;;;;
o;straighteningues;straighteningues;;;;ストレートネス;;;;;;
t;stripping;stripping;;;;ストリップ;;;;;;
pa;subdivision;subdivision;;;;サブディビジョン;;;;;;
t;succion;suction;;;;サクション;;;;;;
pt;suce le pouce;thumb sucking;;;;親指しゃぶり;;;;;;
pt;sucer;suck;;;;吸う;;;;;;
o;sucers;sugars;;;;糖類;;;;;;
o;suces les pouces;sucking thumbs;;;;親指しゃぶり;;;;;;
pt;sucotement;sucotement;;;;スクートメント;;;;;;
o;sucotemente;sucotemente;;;;スコーテメンテ;;;;;;
o;sucotementes;sweets;;;;お菓子;;;;;;
o;sucotements;sucking;;;;吸い上げ;;;;;;
o;sucère;sweetener;;;;水金;;;;;;
o;sucères;sugars;;;;糖類;;;;;;
pt;suivi;follow-up;;;;フォローアップ;;;;;;
o;suivie;followed;;;;続く;;;;;;
o;suivies;followed;;;;続く;;;;;;
o;suivis;follow-up;;;;フォローアップ;;;;;;
pt;supernuméraire;supernumerary;;;;エクストラ;;;;;;
o;supernuméraires;supernumeraries;;;;特待生;;;;;;
pt;superélastique;superelastic;;;;超弾性;;;;;;
o;superélastiques;superelastic;;;;超弾性;;;;;;
pt;supra-position;supra-position;;;;じょうい;;;;;;
o;supra-positionne;supra-positionne;;;;超ポジション;;;;;;
o;supra-positionnes;over-positioned;;;;オーバーポジション;;;;;;
o;supra-positions;supra-positions;;;;役職;;;;;;
pt;supra-éruption;supra-eruption;;;;上疹;;;;;;
o;supra-éruptionne;supra-eruption;;;;上疹;;;;;;
o;supra-éruptionnes;supra-eruptions;;;;超発疹;;;;;;
o;supra-éruptions;supra-eruptions;;;;超発疹;;;;;;
t;supraclusion;supraclusion;;;;上包接;;;;;;
pt;supraocclusion;overbite;;;;出っ歯;;;;;;
o;supraocclusionne;overbite;;;;出っ歯;;;;;;
o;supraocclusionnes;overbite;;;;出っ歯;;;;;;
o;supraocclusions;overbite;;;;出っ歯;;;;;;
t;supraposition;supraposition;;;;上代;;;;;;
o;supérieur;superior;;;;より良い;;;;;;
o;supérieurs;higher;;;;より高い;;;;;;
o;supérieuse;superior;;;;より良い;;;;;;
o;supérieuses;superior;;;;より良い;;;;;;
pt;surdimensionnement dentaire;oversized teeth;;;;過大歯;;;;;;
o;surdimensionnements dentaires;oversized teeth;;;;過大歯;;;;;;
pt;surfaçage;surfacing;;;;浮上;;;;;;
o;surfaçages;surfaces;;;;浮上;;;;;;
pt;surgery;surgery;;;;外科手術;;;;;;
o;surgerys;surgerys;;;;外科;;;;;;
pt;surjet;overlock;;;;オーバーロック;;;;;;
o;surjets;overlays;;;;オーバーレイ;;;;;;
o;surjète;surjète;;;;スルジェット;;;;;;
o;surjètes;surjètes;;;;スルジェ;;;;;;
pt;surplomb;overhang;;;;張り出し;;;;;;
pt;surplomb horizontal accru;increased horizontal overhang;;;;水平張り出しの増加;;;;;;
pt;surplomb horizontal augmenté;increased horizontal overhang;;;;水平方向の張り出しの増加;;;;;;
o;surplombs horizontaux accrus;increased horizontal overhangs;;;;水平オーバーハングの増加;;;;;;
o;surplombs horizontaux augmentés;increased horizontal overlaps;;;;水平方向のオーバーラップの増加;;;;;;
pt;surveiller;monitor;;;;モニター;;;;;;
o;surveillers;supervisors;;;;監督;;;;;;
o;surveillère;supervisor;;;;監督;;;;;;
o;surveillères;lifeguards;;;;ライフガード;;;;;;
pt;swallowing;swallowing;;;;呑み込み;;;;;;
pt;syndrome d'apnées obstructives du sommeil;obstructive sleep apnoea syndrome;;;;閉塞性睡眠時無呼吸症候群;;;;;;
o;syndromes d'apnées obstructives dus sommeils;obstructive sleep apnoea syndromes;;;;閉塞性睡眠時無呼吸症候群;;;;;;
pt;système de bielles;connecting rod system;;;;コネクティングロッドシステム;;;;;;
o;systèmes des bielles;connecting rod systems;;;;コネクティングロッドシステム;;;;;;
pt;séparateur;separator;;;;セパレータ;;;;;;
o;séparateurs;separators;;;;分離器;;;;;;
o;séparatrice;separator;;;;セパレータ;;;;;;
o;séparatrices;separators;;;;分離器;;;;;;
a;sévère;severe;;;;厳しい;;;;;;
a;sévères;severe;;;;厳しい;;;;;;
pt;tads;tads;;;;タッズ;;;;;;
o;tadsse;tadsse;;;;タッセ;;;;;;
o;tadsses;tadsses;;;;タデス;;;;;;
pt;tie;tie;;;;ネクタイ;;;;;;
o;ties;ties;;;;絆;;;;;;
pt;tipping;tipping;;;;ティッピング;;;;;;
o;tippings;tippings;;;;ティッピング;;;;;;
o;tippingue;tippingue;;;;ティッピングエ;;;;;;
o;tippingues;tipping;;;;ティッピング;;;;;;
pt;titane;titanium;;;;チタン;;;;;;
o;titanes;titanium;;;;チタン;;;;;;
pt;titanium;titanium;;;;チタン;;;;;;
o;titaniume;titaniume;;;;チタン;;;;;;
o;titaniumes;titaniums;;;;チタン;;;;;;
o;titaniums;titaniums;;;;チタン;;;;;;
pt;tmd;tdg;;;;TDG;;;;;;
o;tmde;tmde;;;;TMDe;;;;;;
o;tmdes;tmdes;;;;TMDes;;;;;;
o;tmds;tmds;;;;TMD;;;;;;
pt;tmj;tmj;;;;TMJ;;;;;;
o;tmje;tmje;;;;TMJe;;;;;;
o;tmjes;tmjes;;;;TMJes;;;;;;
o;tmjs;tmjs;;;;顎関節症;;;;;;
pt;tomodensitométrie;computed tomography;;;;コンピューター断層撮影法;;;;;;
o;tomodensitométries;ct scans;;;;CTスキャン;;;;;;
pt;tomographie;tomography;;;;トモグラフィー;;;;;;
o;tomographies;tomographies;;;;トモグラフィー;;;;;;
pt;tongue thrust;tongue thrust;;;;舌打ち;;;;;;
o;tongues thrusts;tongues thrusts;;;;舌突き;;;;;;
pt;tooth decay;tooth decay;;;;虫歯;;;;;;
o;tooths decays;tooths decays;;;;くし;;;;;;
t;torque;torque;;;;トルク;;;;;;
pt;torsion radiculaire;root torsion;;;;根のねじれ;;;;;;
o;torsions radiculaires;root torsion;;;;根のねじれ;;;;;;
a;total;total;;;;合計;;;;;;
a;totale;total;;;;合計;;;;;;
a;totales;total;;;;合計;;;;;;
a;totaux;totals;;;;合計;;;;;;
t;traitement interceptif;interceptive treatment;;;;インターセプティブ治療;;;;;;
pt;traitement précoce;early treatment;;;;早期治療;;;;;;
o;traitements précoces;early treatment;;;;早期治療;;;;;;
t;translation;translation;;;;翻訳;;;;;;
pt;translation dentaire;dental translation;;;;歯科翻訳;;;;;;
o;translations dentaires;dental translations;;;;歯科翻訳;;;;;;
pt;transparent;transparent;;;;透明;;;;;;
o;transparente;transparent;;;;透明;;;;;;
o;transparentes;transparent;;;;透明;;;;;;
o;transparents;transparencies;;;;トランスペアレンシーズ;;;;;;
t;transposition;transposition;;;;転置;;;;;;
a;traumatique;traumatic;;;;トラウマティック;;;;;;
a;traumatiques;traumatic;;;;トラウマティック;;;;;;
pt;trouble de l'atm;atm disorder;;;;大気障害;;;;;;
pt;trouble de la déglutition;swallowing disorder;;;;嚥下障害;;;;;;
pt;troubles atm;tmj disorders;;;;顎関節症;;;;;;
o;troubles atms;tmj disorders;;;;顎関節症;;;;;;
o;troubles des l'atms;atms disorders;;;;アトム障害;;;;;;
o;troubles des las déglutitions;swallowing disorders;;;;嚥下障害;;;;;;
pt;twisted tooth;twisted tooth;;;;ねじれ歯;;;;;;
pt;télécrâne;telecranium;;;;テレクラニウム;;;;;;
o;télécrânes;telecoms;;;;テレコム;;;;;;
pt;téléradio;teleradio;;;;テレラジオ;;;;;;
pt;téléradiographie;teleradiography;;;;テラジオグラフィー;;;;;;
o;téléradiographies;teleradiographs;;;;テレラジオグラフ;;;;;;
o;téléradios;teleradios;;;;テレラジオ;;;;;;
pt;tétine;teat;;;;乳頭;;;;;;
o;tétines;teats;;;;乳頭;;;;;;
pt;underbite;underbite;;;;アンダーバイト;;;;;;
a;unilatéral;unilateral;;;;一方的;;;;;;
a;unilatérale;unilateral;;;;一方的;;;;;;
o;unilatérales;unilateral;;;;一方的;;;;;;
o;unilatéraux;unilateral;;;;一方的;;;;;;
t;urgence;emergency;;;;緊急;;;;;;
pt;urgence orthodontique;orthodontic emergency;;;;歯列矯正緊急事態;;;;;;
o;urgences orthodontiques;orthodontic emergencies;;;;歯列矯正の緊急事態;;;;;;
pt;urgent;urgent;;;;緊急;;;;;;
o;urgente;urgent;;;;緊急;;;;;;
o;urgentes;urgent;;;;緊急;;;;;;
o;urgents;urgent;;;;緊急;;;;;;
pt;usure dentaire;tooth wear;;;;歯の摩耗;;;;;;
o;usures dentaires;tooth wear;;;;歯の摩耗;;;;;;
t;ventilation nasale;nasal ventilation;;;;鼻腔換気;;;;;;
pt;ventilation orale;oral ventilation;;;;口腔換気;;;;;;
o;ventilations orales;oral ventilations;;;;経口人工呼吸;;;;;;
t;version;version;;;;バージョン;;;;;;
pt;version axiale;axial version;;;;アキシャルバージョン;;;;;;
o;versions axiales;axial versions;;;;アキシャルバージョン;;;;;;
pt;versé en lingual;poured in lingually;;;;言語的に注がれた;;;;;;
pt;versé en vestibulaire;vestibular poured;;;;前庭注;;;;;;
o;versés ens linguaux;poured into language sets;;;;言語セットに注がれる;;;;;;
o;versés ens vestibulaires;vestibular ens;;;;前庭;;;;;;
pt;vestibulo-position;vestibulo-position;;;;前庭位置;;;;;;
o;vestibulo-positionne;vestibulo-positionne;;;;前庭;;;;;;
o;vestibulo-positionnes;vestibulo-positioning;;;;前庭ポジショニング;;;;;;
o;vestibulo-positions;vestibulo-positions;;;;前庭ポジション;;;;;;
t;vestibulo-version;vestibulo-version;;;;前庭版;;;;;;
pt;vestibuloversion;vestibuloversion;;;;前庭運動;;;;;;
pt;vis d'ancrage;anchor screws;;;;アンカースクリュー;;;;;;
o;vis d'ancrages;anchor bolts;;;;アンカーボルト;;;;;;
pt;visage asymétrique;asymmetric face;;;;非対称顔;;;;;;
o;visages asymétriques;asymmetrical faces;;;;左右非対称の顔;;;;;;
pt;visite;visit;;;;訪問;;;;;;
pt;visite de contrôle;inspection visit;;;;視察;;;;;;
o;visites;visits;;;;訪問;;;;;;
o;visites des contrôles;inspection visits;;;;視察;;;;;;
pt;vérin de herbst;herbst cylinder;;;;ハーベストシリンダー;;;;;;
o;vérins des herbsts;herbsts cylinders;;;;ハーブシリンダーズ;;;;;;
pt;wire;wire;;;;ワイヤー;;;;;;
pt;wire poking;wire poking;;;;ワイヤープッシング;;;;;;
o;wits;wits;;;;知恵;;;;;;
o;wits appraisal;wits appraisal;;;;ウィッツ鑑定;;;;;;
pt;écart;gap;;;;ギャップ;;;;;;
o;écarte;discard;;;;破棄;;;;;;
pt;écartement;spacing;;;;スペーシング;;;;;;
pt;écartement dentaire;dental spacing;;;;デンタル・スペーシング;;;;;;
o;écartemente;distance;;;;エカルテメンテ;;;;;;
o;écartementes;spacing;;;;スペーシング;;;;;;
o;écartements;gauges;;;;ゲージ;;;;;;
o;écartements dentaires;dental spacings;;;;スペーシング;;;;;;
o;écartes;gaps;;;;隙間;;;;;;
t;écarteur;spreader;;;;スプレッダー;;;;;;
o;écarts;differences;;;;相違点;;;;;;
pt;échange de position;exchange of positions;;;;ポジション交換;;;;;;
o;échanges des positions;exchange of positions;;;;ポジション交換;;;;;;
t;édentation;edentulous;;;;無歯顎;;;;;;
pt;édentement;edentulism;;;;無歯顎症;;;;;;
o;édentemente;edentulism;;;;無歯顎症;;;;;;
o;édentementes;edentulism;;;;無歯顎症;;;;;;
o;édentements;edentulous;;;;無歯顎;;;;;;
pt;édenté;edentulous;;;;無歯顎;;;;;;
o;édentée;edentulous;;;;無歯顎;;;;;;
o;édentées;edentulous;;;;無歯顎;;;;;;
o;édentés;edentulous;;;;無歯顎;;;;;;
t;égression;egression;;;;進化;;;;;;
pt;égression dentaire;dental erosion;;;;歯牙糜爛;;;;;;
o;égressions dentaires;dental erosion;;;;歯の侵食;;;;;;
pt;élastique;elastic;;;;エラスチック;;;;;;
pt;élastique séparateur;elastic separator;;;;エラスティックセパレーター;;;;;;
o;élastiques;elastic bands;;;;ゴムバンド;;;;;;
pt;élastiques classe ii;class ii elastics;;;;クラスIIゴムバンド;;;;;;
pt;élastiques classe iii;class iii elastics;;;;第3種ゴムバンド;;;;;;
pt;élastiques de classe;class elastics;;;;クラスゴム;;;;;;
t;élastiques intermaxillaires;intermaxillary elastics;;;;顎間ゴム;;;;;;
o;élastiques séparateurs;elastic separators;;;;弾性セパレータ;;;;;;
pt;élocution;elocution;;;;エロキューション;;;;;;
o;élocutionne;elocutionne;;;;エロキューショーン;;;;;;
o;élocutionnes;elocutionnes;;;;エロキューショネス;;;;;;
o;élocutions;speech;;;;スピーチ;;;;;;
pt;éruption;rash;;;;軽率;;;;;;
pt;éruption excessive;excessive rash;;;;過度の発疹;;;;;;
o;éruptionne;rash;;;;軽率;;;;;;
o;éruptionnes;rash;;;;軽率;;;;;;
o;éruptions;rashes;;;;発疹;;;;;;
o;éruptions excessives;excessive rashes;;;;過度の発疹;;;;;;
z;anb<0°;anb<0°;anb<0°;anb<0°;anb<0°;anb<0°;anb<0°;anb<0°;anb<0°;anb<0°;anb<0°;anb<0°
z;anb=0°;anb=0°;anb=0°;anb=0°;anb=0°;anb=0°;anb=0°;anb=0°;anb=0°;anb=0°;anb=0°;anb=0°
z;anb>4°;anb>4°;anb>4°;anb>4°;anb>4°;anb>4°;anb>4°;anb>4°;anb>4°;anb>4°;anb>4°;anb>4°
z;sna>4°;sna>4°;sna>4°;sna>4°;sna>4°;sna>4°;sna>4°;sna>4°;sna>4°;sna>4°;sna>4°;sna>4°
z;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ;é,è,ê,ë,à,â,ù,û,ô,î,ï,ç,œ,æ,É,È,Ê,Ë,À,Â,Ù,Û,Ô,Î,Ï,Ç,Œ,Æ
t;plaque y;;;;;;;;;;;
t;ef;;;;;;;;;;;
t;plaque éventail;;;;;;;;;;;
t;bipro;;;;;;;;;;;
t;latérodéviation;;;;;;;;;;;
t;aéro;;;;;;;;;;;
t;plaque papillon;;;;;;;;;;;
t;tong e;;;;;;;;;;;
pt;aérophonoscope;;;;;;;;;;;
pt;arracher;;;;;;;;;;;
pt;dent arrachée;;;;;;;;;;;
